db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
BS02,FAABK_FAAB2DBEA01,現金預け金/資産,Cash and Due from Banks/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,1,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA02,＿うち現金/資産,_of which: Cash/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,2,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA03,＿＿うち切手手形/資産,__of which: Checks and Bills/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,3,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA06,＿うち預け金/資産,_of which: Due from Banks/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,4,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA08,＿＿うち譲渡性預け金/資産,__of which: Negotiable Certificates of Deposits/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,5,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA09,コールローン/資産,Call Loans/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,6,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA67,買現先勘定/資産,Receivables under Resale Agreements/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,7,0,0,200004,202511,20251230
BS02,FAABK_FAAB2DBEA73,債券貸借取引支払保証金/資産,Receivables under Securities Borrowing Transactions/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,8,0,0,200209,202511,20251230
BS02,FAABK_FAAB2DBEA10,買入手形/資産,Bills Bought/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,9,0,0,199310,202511,20251230
BS02,FAABK_FAAB2DBEA12,買入金銭債権/資産,Monetary Claims Bought/Assets,億円,100 million yen,MONTHLY,国内銀行の資産・負債等（銀行勘定）（月末）,Assets and Liabilities of Domestically Licensed Banks (Banking Accounts) (End of Month),1,1,10,0,0,199310,202511,20251230
