db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
DER,D5101010101501,DER/想定元本/全リスクファクター計/全商品計/全取引相手先計/売買計/—,DER/Notional amounts outstanding/All risk categories/All instruments/All counterparties/All transactions/-,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/全リスクファクター計,Derivatives/Notional amounts outstanding/All risk categories,1,1,1,1,0,199801,202501,20250910
DER,D5101180101501,DER/想定元本/全リスクファクター計/取引所取引・全商品計/全取引相手先計/売買計/—,DER/Notional amounts outstanding/All risk categories/Exchange-traded contracts: Total/All counterparties/All transactions/-,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/全リスクファクター計,Derivatives/Notional amounts outstanding/All risk categories,1,1,2,1,0,199801,202501,20250910
DER,D5103010101ALL,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：全通貨計,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: Total,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,1,199801,202501,20250910
DER,D5103010101USD,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：米ドル,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: USD,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,2,199801,202501,20250910
DER,D5103010101JPY,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：日本円,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: JPY,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,3,199801,202501,20250910
DER,D5103010101EUR,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：ユーロ,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: EUR,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,4,199801,202501,20250910
DER,D5103010101GBP,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：英ポンド,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: GBP,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,5,199801,202501,20250910
DER,D5103010101CHF,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：スイス・フラン,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: CHF,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,6,199801,202501,20250910
DER,D5103010101CAD,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：カナダ・ドル,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: CAD,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,7,199801,202501,20250910
DER,D5103010101SEK,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：スウェーデン・クローナ,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: SEK,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,8,199801,202501,20250910
DER,D5103010101AND,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：豪ドル＋NZドル,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: AUD+NZD,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,9,200701,202501,20250910
DER,D5103010101CNY,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：人民元,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: CNY,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,10,199801,202501,20250910
DER,D5103010101AS6,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：アジア6通貨,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: 6 Asian currencies,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,11,201601,202501,20250910
DER,D5103010101OT2,DER/想定元本/外国為替関連/全商品計/全取引相手先計/売買計/通貨：その他,DER/Notional amounts outstanding/Foreign exchange derivatives/All instruments/All counterparties/All transactions/Currency: Others,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,1,12,199901,202501,20250910
DER,D5103020101ALL,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：全通貨計,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: Total,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,1,199801,202501,20250910
DER,D5103020101USD,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：米ドル,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: USD,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,2,199801,202501,20250910
DER,D5103020101JPY,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：日本円,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: JPY,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,3,199801,202501,20250910
DER,D5103020101EUR,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：ユーロ,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: EUR,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,4,199801,202501,20250910
DER,D5103020101GBP,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：英ポンド,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: GBP,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,5,199801,202501,20250910
DER,D5103020101CHF,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：スイス・フラン,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: CHF,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,6,199801,202501,20250910
DER,D5103020101CAD,DER/想定元本/外国為替関連/フォワード・為替スワップ/全取引相手先計/売買計/通貨：カナダ・ドル,DER/Notional amounts outstanding/Foreign exchange derivatives/Forwards and forex swaps/All counterparties/All transactions/Currency: CAD,百万米ドル,million U.S. dollars,SEMIANNUAL,デリバティブ/想定元本/外国為替関連,Derivatives/Notional amounts outstanding/Foreign exchange derivatives,1,2,1,2,7,199801,202501,20250910
