db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM08,FXERD01,東京市場　ドル・円　スポット　9時時点,"US.Dollar/Yen Spot Rate at 9:00 in JST, Tokyo Market",￥／＄,Yen per U.S. Dollar,DAILY,外国為替市況,Foreign Exchange Rates,1,1,0,0,0,19990101,20260218,20260220
FM08,FXERD02,東京市場　ドル・円　スポット　最高値,"US.Dollar/Yen Highest, Tokyo Market",￥／＄,Yen per U.S. Dollar,DAILY,外国為替市況,Foreign Exchange Rates,1,2,0,0,0,19990101,20260218,20260220
FM08,FXERD03,東京市場　ドル・円　スポット　最安値,"US.Dollar/Yen Lowest, Tokyo Market",￥／＄,Yen per U.S. Dollar,DAILY,外国為替市況,Foreign Exchange Rates,1,3,0,0,0,19990101,20260218,20260220
FM08,FXERD04,東京市場　ドル・円　スポット　17時時点,"US.Dollar/Yen Spot Rate at 17:00 in JST, Tokyo Market",￥／＄,Yen per U.S. Dollar,DAILY,外国為替市況,Foreign Exchange Rates,1,4,0,0,0,19980105,20260218,20260220
FM08,FXERD05,東京市場　ドル・円　スポット　中心相場,"US.Dollar/Yen Central Rate, Tokyo Market",￥／＄,Yen per U.S. Dollar,DAILY,外国為替市況,Foreign Exchange Rates,1,5,0,0,0,19990101,20260218,20260220
FM08,FXERD06,東京市場　ドル・円　スポット出来高,"US.Dollar/Yen, Turnover of Spot, Tokyo Market",百万ドル,Million U.S. Dollars,DAILY,外国為替市況,Foreign Exchange Rates,1,6,0,0,0,19990101,20260218,20260220
FM08,FXERD07,東京市場　ドル・円　スワップ出来高,"US.Dollar/Yen, Turnover of Swap, Tokyo Market",百万ドル,Million U.S. Dollars,DAILY,外国為替市況,Foreign Exchange Rates,1,7,0,0,0,19990101,20260218,20260220
FM08,FXERD31,東京市場　ユーロ・ドル　スポット　9時時点,"Euro/US.Dollar as of 9:00am in JST, Tokyo Market",＄／ユーロ,U.S. Dollar per Euro,DAILY,外国為替市況,Foreign Exchange Rates,1,8,0,0,0,19990101,20260218,20260220
FM08,FXERD32,東京市場　ユーロ・ドル　スポット　最高値,"Euro/US.Dollar Highest, Tokyo Market",＄／ユーロ,U.S. Dollar per Euro,DAILY,外国為替市況,Foreign Exchange Rates,1,9,0,0,0,19990101,20260218,20260220
FM08,FXERD33,東京市場　ユーロ・ドル　スポット　最安値,"Euro/US.Dollar Lowest, Tokyo Market",＄／ユーロ,U.S. Dollar per Euro,DAILY,外国為替市況,Foreign Exchange Rates,1,10,0,0,0,19990101,20260218,20260220
