db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
IR03,DLDRK_DLDR442DB,総合/(1)総合,Total/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,1,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB1,1か月以上2か月未満/(1)総合,1 Month or More and Less than 2 Months/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,2,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB2,2か月以上3か月未満/(1)総合,2 Months or More and Less than 3 Months/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,3,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB3,3か月以上6か月未満/(1)総合,3 Months or More and Less than 6 Months/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,4,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB4,6か月以上1年未満/(1)総合,6 Months or More and Less than 1 Year/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,5,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB5,1年以上2年未満/(1)総合,1 Year or More and Less than 2 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,6,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB6,2年以上3年未満/(1)総合,2 Years or More and Less than 3 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,7,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB7,3年以上4年未満/(1)総合,3 Years or More and Less than 4 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,8,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB8,4年以上5年未満/(1)総合,4 Years or More and Less than 5 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,9,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DB9,5年以上6年未満/(1)総合,5 Years or More and Less than 6 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,10,0,0,0,199410,202512,20260206
IR03,DLDRK_DLDR442DB91,6年以上7年未満/(1)総合,6 Years or More and Less than 7 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,11,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DB92,7年以上8年未満/(1)総合,7 Years or More and Less than 8 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,12,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DB93,8年以上9年未満/(1)総合,8 Years or More and Less than 9 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,13,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DB94,9年以上10年未満/(1)総合,9 Years or More and Less than 10 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,14,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DB95,10年/(1)総合,10 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,15,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DB96,10年超/(1)総合,More than 10 Years/(1)Total,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),1,16,0,0,0,199510,202512,20260206
IR03,DLDRK_DLDR442DBFT,総合/(2)預入金額1千万円以上,Total/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,1,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT1,1か月以上2か月未満/(2)預入金額1千万円以上,1 Month or More and Less than 2 Months/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,2,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT2,2か月以上3か月未満/(2)預入金額1千万円以上,2 Months or More and Less than 3 Months/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,3,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT3,3か月以上6か月未満/(2)預入金額1千万円以上,3 Months or More and Less than 6 Months/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,4,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT4,6か月以上1年未満/(2)預入金額1千万円以上,6 Months or More and Less than 1 Year/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,5,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT5,1年以上2年未満/(2)預入金額1千万円以上,1 Year or More and Less than 2 Years/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,6,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT6,2年以上3年未満/(2)預入金額1千万円以上,2 Years or More and Less than 3 Years/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,7,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT7,3年以上4年未満/(2)預入金額1千万円以上,3 Years or More and Less than 4 Years/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,8,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT8,4年以上5年未満/(2)預入金額1千万円以上,4 Years or More and Less than 5 Years/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,9,0,0,0,199310,202512,20260206
IR03,DLDRK_DLDR442DBFT9,5年以上6年未満/(2)預入金額1千万円以上,5 Years or More and Less than 6 Years/(2)Deposits of 10 Million Yen or More,年％,Percent per annum,MONTHLY,定期預金の預入期間別平均金利（新規受入分）,Average Interest Rates on Time Deposits by Term (New Deposits),2,10,0,0,0,199410,202512,20260206
