db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
LA05,DLLSDLPB,資金需要判断Ｄ．Ｉ．/企業向け,DI for Demand for Loans/Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,1,0,0,0,200002,202601,20260122
LA05,DLLSDLPLG,資金需要判断Ｄ．Ｉ．/地公体等向け,DI for Demand for Loans/Local Governments,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,2,0,0,0,200002,202601,20260122
LA05,DLLSDLPH,資金需要判断Ｄ．Ｉ．/個人向け,DI for Demand for Loans/Households,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,3,0,0,0,200002,202601,20260122
LA05,DLLSDLPBB,資金需要判断Ｄ．Ｉ．/企業向け/大企業向け,DI for Demand for Loans/By Firm Size/Large Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,4,0,0,0,200002,202601,20260122
LA05,DLLSDLPBM,資金需要判断Ｄ．Ｉ．/企業向け/中堅企業向け,DI for Demand for Loans/By Firm Size/Medium-sized Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,5,0,0,0,200002,202601,20260122
LA05,DLLSDLPBS,資金需要判断Ｄ．Ｉ．/企業向け/中小企業向け,DI for Demand for Loans/By Firm Size/Small Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,6,0,0,0,200002,202601,20260122
LA05,DLLSDLPHHL,資金需要判断Ｄ．Ｉ．/個人向け/住宅ローン,DI for Demand for Loans/Households/Housing Loans,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,7,0,0,0,200002,202601,20260122
LA05,DLLSDLPHCL,資金需要判断Ｄ．Ｉ．/個人向け/消費者ローン,DI for Demand for Loans/Households/Consumer Loans,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,8,0,0,0,200002,202601,20260122
LA05,DLLSLPPB,貸出運営スタンスＤ．Ｉ．/大企業向け,DI for Credit Standards/Large Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,9,0,0,0,200002,202601,20260122
LA05,DLLSLPPM,貸出運営スタンスＤ．Ｉ．/中堅企業向け,DI for Credit Standards/Medium-sized Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,10,0,0,0,200002,202601,20260122
LA05,DLLSLPPS,貸出運営スタンスＤ．Ｉ．/中小企業向け,DI for Credit Standards/Small Firms,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,11,0,0,0,200002,202601,20260122
LA05,DLLSLPPH,貸出運営スタンスＤ．Ｉ．/個人向け,DI for Credit Standards/Households,,,QUARTERLY,主要銀行貸出動向アンケート調査,Senior Loan Officer Opinion Survey on Bank Lending Practices at Large Japanese Banks,1,12,0,0,0,200002,202601,20260122
