db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
MD01,MABS1AN11,マネタリーベース平均残高,Monetary Base/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,1,0,0,0,197001,202601,20260203
MD01,MABS1AN11@,マネタリーベース平均残高（前年比）,Monetary Base/Average Amounts Outstanding/Year-on-year change,％,%,MONTHLY,マネタリーベース,Monetary Base,1,2,0,0,0,197101,202601,20260203
MD01,MABS2AN116,マネタリーベース平均残高／うち 日本銀行券発行高,Monetary Base/Banknotes in Circulation/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,3,0,0,0,197001,202601,20260203
MD01,MABS2AN116@,マネタリーベース平均残高／うち 日本銀行券発行高（前年比）,Monetary Base/Banknotes in Circulation/Average Amounts Outstanding/Year-on-year change,％,%,MONTHLY,マネタリーベース,Monetary Base,1,4,0,0,0,197101,202601,20260203
MD01,MABS2AN117,マネタリーベース平均残高／うち 貨幣流通高,Monetary Base/Coins in Circulation/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,5,0,0,0,197001,202601,20260203
MD01,MABS2AN117@,マネタリーベース平均残高／うち 貨幣流通高(前年比）,Monetary Base/Coins in Circulation/Average Amounts Outstanding/Year-on-year change,％,%,MONTHLY,マネタリーベース,Monetary Base,1,6,0,0,0,197101,202601,20260203
MD01,MABS1AN113,マネタリーベース平均残高／うち 日銀当座預金,Monetary Base/Current Account Balances/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,7,0,0,0,198104,202601,20260203
MD01,MABS1AN113@,マネタリーベース平均残高／うち 日銀当座預金（前年比）,Monetary Base/Current Account Balances/Average Amounts Outstanding/Year-on-year change,％,%,MONTHLY,マネタリーベース,Monetary Base,1,8,0,0,0,198204,202601,20260203
MD01,MABS1AN1131,（更新停止）参考：マネタリーベース平均残高／日本郵政公社を除く日銀当座預金（2007年9月まで）,(Discontinued) Reference/Monetary Base/Current Account Balances excluding the Deposit of the Japan Post/Average Amounts Outstanding(through September 2007),億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,9,0,0,0,198104,200709,20171229
MD01,MABS1AN114,マネタリーベース平均残高／うち 準備預金,Monetary Base/Reserve Balances/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,10,0,0,0,197001,202601,20260203
MD01,MABS1AA11X12,マネタリーベース平均残高＜季節調整済＞,Monetary Base/Seasonally Adjusted (X-12-ARIMA)/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,11,0,0,0,197001,202601,20260203
MD01,MABS1AN12,マネタリーベース平均残高（準備率調整後）,Monetary Base(Reserve Requirement Rate Change Adjusted)/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,12,0,0,0,197001,202601,20260203
MD01,MABS1AN125,マネタリーベース平均残高（準備率調整後）／うち 準備預金（準備率調整後）,Monetary Base(Reserve Requirement Rate Change Adjusted)/Reserve Balances(Reserve Requirement Rate Change Adjusted)/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,13,0,0,0,197001,202601,20260203
MD01,MABS1AA12X12,マネタリーベース平均残高（準備率調整後）＜季節調整済＞,Monetary Base(Reserve Requirement Rate Change Adjusted)/Seasonally Adjusted (X-12-ARIMA)/Average Amounts Outstanding,億円,100 million yen,MONTHLY,マネタリーベース,Monetary Base,1,14,0,0,0,197001,202601,20260203
