db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
PR04,PRFI20_1I1A00000,ステージ1/総合,Stage 1/All commodities,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,1,0,201501,202512,20260129
PR04,PRFI20_1I1LD0000,ステージ1/輸入財除く総合,"Stage 1/All commodities, less imports",2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,2,0,201501,202512,20260129
PR04,PRFI20_1I1G00000,ステージ1/財,Stage 1/Goods,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,3,0,201501,202512,20260129
PR04,PRFI20_1I1G00100,ステージ1/財_食料品,Stage 1/Goods_Foods,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,4,0,201501,202512,20260129
PR04,PRFI20_1I1G00200,ステージ1/財_エネルギー,Stage 1/Goods_Energy,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,5,0,201501,202512,20260129
PR04,PRFI20_1I1G00300,ステージ1/財_その他財,Stage 1/Goods_Goods less foods and energy,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,6,0,201501,202512,20260129
PR04,PRFI20_1I1SD0000,ステージ1/サービス,Stage 1/Services,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,7,0,201501,202512,20260129
PR04,PRFI20_1I1SD0100,ステージ1/サービス_商業サービス,Stage 1/Services_Trade services,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,8,0,201501,202512,20260129
PR04,PRFI20_1I1SD0200,ステージ1/サービス_運輸サービス,Stage 1/Services_Transportation services,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,9,0,201501,202512,20260129
PR04,PRFI20_1I1SD0300,ステージ1/サービス_その他サービス,Stage 1/Services_Services less trade and transportation,2020年=100,CY2020 average=100,MONTHLY,＜サテライト指数＞最終需要・中間需要物価指数 2020年基準,<Satellite series> Final Demand-Intermediate Demand price indexes (2020 base),1,1,1,10,0,201501,202512,20260129
